ko	map	pathway
K00001	map00982	Drug metabolism - cytochrome P450
K00002	map00930	Caprolactam degradation
K00003	map00300	Lysine biosynthesis
K00004	map00650	Butanoate metabolism
K00005	map00561	Glycerolipid metabolism
K00008	map00051	Fructose and mannose metabolism
K00009	map00051	Fructose and mannose metabolism
K00010	map00562	Inositol phosphate metabolism
K00011	map00620	Pyruvate metabolism
K00012	map00520	Amino sugar and nucleotide sugar metabolism
K00013	map00340	Histidine metabolism
K00014	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K00015	map00630	Glyoxylate and dicarboxylate metabolism
K00016	map00640	Propanoate metabolism
K00018	map00680	Glyoxylate and dicarboxylate metabolism
K00019	map00650	Butanoate metabolism
K00020	map00280	Valine, leucine and isoleucine degradation
K00024	map00720	Citrate cycle (TCA cycle)
K00027	map02020	Two-component system
K00029	map00710	Pyruvate metabolism
K00030	map00020	Citrate cycle (TCA cycle)
K00031	map04146	Citrate cycle (TCA cycle)
K00033	map00480	Glutathione metabolism
K00036	map00480	Glutathione metabolism
K00038	map00140	Steroid hormone biosynthesis
K00040	map00040	Pentose and glucuronate interconversions
K00042	map00630	Glyoxylate and dicarboxylate metabolism
K00043	map00650	Butanoate metabolism
K00044	map00140	Steroid hormone biosynthesis
K00046	Unknown	Unknown
K00048	map00630	Glyoxylate and dicarboxylate metabolism
K00050	map00630	Glyoxylate and dicarboxylate metabolism
K00052	map00290	Valine, leucine and isoleucine biosynthesis
K00053	map00770	Pantothenate and CoA biosynthesis
K00054	map00900	Terpenoid backbone biosynthesis
K00055	map00930	Caprolactam degradation
K00057	map00564	Glycerophospholipid metabolism
K00058	map00680	Glycine serine and threonine metabolism
K00059	map01040	Biosynthesis of unsaturated fatty acids
K00060	map00260	Glycine, serine and threonine metabolism
K00065	map00040	Pentose and glucuronate interconversions
K00067	map00523	Polyketide sugar unit biosynthesis
K00068	map00051	Fructose and mannose metabolism
K00073	map00230	Purine metabolism
K00074	map00650	Butanoate metabolism
K00075	map00550	Peptidoglycan biosynthesis
K00076	Unknown	Unknown
K00077	map00770	Pantothenate and CoA biosynthesis
K00078	map00980	Metabolism of xenobiotics by cytochrome P450
K00079	map00590	Arachidonic acid metabolism
K00086	map00561	Glycerolipid metabolism
K00087	map00230	Purine metabolism
K00088	map00983	Drug metabolism - other enzymes
K00090	map00030	Pentose phosphate pathway
K00094	map00052	Galactose metabolism
K00096	Unknown	Unknown
K00097	map00750	Vitamin B6 metabolism
K00098	Unknown	Unknown
K00099	map00900	Terpenoid backbone biosynthesis
K00100	map00650	Butanoate metabolism
K00101	map00620	Pyruvate metabolism
K00102	map00620	Pyruvate metabolism
K00103	map00053	Ascorbate and aldarate metabolism
K00104	map00630	Glyoxylate and dicarboxylate metabolism
K00105	map00564	Glycerophospholipid metabolism
K00111	map00564	Glycerophospholipid metabolism
K00112	map00564	Glycerophospholipid metabolism
K00113	map00564	Glycerophospholipid metabolism
K00116	map00620	Pyruvate metabolism
K00118	Unknown	Unknown
K00120	map00903	Limonene and pinene degradation
K00121	map00982	Drug metabolism - cytochrome P450
K00122	map00680	Methane metabolism
K00123	map00680	Methanoate metabolism
K00124	map00680	Methanoate metabolism
K00127	map00680	Methanoate metabolism
K00128	map00903	Limonene and pinene degradation
K00129	map00982	Drug metabolism - cytochrome P450
K00130	map00260	Glycine, serine and threonine metabolism
K00131	map00010	Glycolysis / Gluconeogenesis
K00132	map00650	Butanoate metabolism
K00133	map00300	Lysine biosynthesis
K00134	map05010	Glycolysis / Gluconeogenesis
K00135	map00650	Butanoate metabolism
K00138	Unknown	Unknown
K00140	map00640	Propanoate metabolism
K00143	map00310	Lysine degradation
K00145	map00330	Arginine and proline metabolism
K00147	map00330	Arginine and proline metabolism
K00150	map00710	Carbon fixation in photosynthetic organisms
K00153	Unknown	Unknown
K00156	map00620	Pyruvate metabolism
K00158	map00620	Pyruvate metabolism
K00161	map00650	Butanoate metabolism
K00162	map00650	Butanoate metabolism
K00163	map00650	Butanoate metabolism
K00164	map00380	Tryptophan metabolism
K00166	map00280	Valine, leucine and isoleucine degradation
K00167	map00280	Valine, leucine and isoleucine degradation
K00169	map00720	Carbon fixation pathways in prokaryotes
K00170	map00720	Carbon fixation pathways in prokaryotes
K00172	map00720	Carbon fixation pathways in prokaryotes
K00174	map00720	Citrate cycle (TCA cycle)
K00175	map00720	Citrate cycle (TCA cycle)
